election_id,election_name,election_date,state,total_seats,pollster,pollster_harmonized,predictions_json,predictions_json_harmonized,actual_results_json,source,intervalscore,winner_correct,abserror,predicted_winner,actual_winner
assam_2026,2026 Assam Legislative Assembly election,2026-05-04,Assam,126,Peoples Pulse,People's Pulse,"{""NDA"": [83, 91], ""ASOM"": [23, 30], ""Others"": [3, 6]}","{""NDA"": [83, 91], ""ASOM"": [23, 30], ""Others"": [3, 6]}","{""NDA"": 102, ""ASOM"": 21, ""Others"": 3}","Wikipedia: 2026 Assam Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Assam_Legislative_Assembly_election",0.1852,1,0.0582,NDA,NDA
assam_2026,2026 Assam Legislative Assembly election,2026-05-04,Assam,126,Vote Vibe,Vote Vibe,"{""NDA"": [90, 100], ""ASOM"": [23, 33], ""Others"": [0, 6]}","{""NDA"": [90, 100], ""ASOM"": [23, 33], ""Others"": [0, 6]}","{""NDA"": 102, ""ASOM"": 21, ""Others"": 3}","Wikipedia: 2026 Assam Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Assam_Legislative_Assembly_election",0.1111,1,0.037,NDA,NDA
assam_2026,2026 Assam Legislative Assembly election,2026-05-04,Assam,126,Matrize,Matrize,"{""NDA"": [89, 95], ""ASOM"": [25, 32], ""Others"": [6, 12]}","{""NDA"": [89, 95], ""ASOM"": [25, 32], ""Others"": [6, 12]}","{""NDA"": 102, ""ASOM"": 21, ""Others"": 3}","Wikipedia: 2026 Assam Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Assam_Legislative_Assembly_election",0.1984,1,0.0622,NDA,NDA
assam_2026,2026 Assam Legislative Assembly election,2026-05-04,Assam,126,JVC,JVC,"{""NDA"": [88, 101], ""ASOM"": [23, 33], ""Others"": [2, 5]}","{""NDA"": [88, 101], ""ASOM"": [23, 33], ""Others"": [2, 5]}","{""NDA"": 102, ""ASOM"": 21, ""Others"": 3}","Wikipedia: 2026 Assam Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Assam_Legislative_Assembly_election",0.1005,1,0.0397,NDA,NDA
assam_2026,2026 Assam Legislative Assembly election,2026-05-04,Assam,126,Axis My India,Axis My India,"{""NDA"": [88, 100], ""ASOM"": [24, 36], ""Others"": [0, 3]}","{""NDA"": [88, 100], ""ASOM"": [24, 36], ""Others"": [0, 3]}","{""NDA"": 102, ""ASOM"": 21, ""Others"": 3}","Wikipedia: 2026 Assam Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Assam_Legislative_Assembly_election",0.1243,1,0.0489,NDA,NDA
assam_2026,2026 Assam Legislative Assembly election,2026-05-04,Assam,126,Janmat,Janmat,"{""NDA"": [87, 98], ""ASOM"": [29, 30], ""Others"": [0, 0]}","{""NDA"": [87, 98], ""ASOM"": [29, 30], ""Others"": [0, 0]}","{""NDA"": 102, ""ASOM"": 21, ""Others"": 3}","Wikipedia: 2026 Assam Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Assam_Legislative_Assembly_election",0.1905,1,0.0556,NDA,NDA
assam_2026,2026 Assam Legislative Assembly election,2026-05-04,Assam,126,P-Marq,P-Marq,"{""NDA"": [82, 94], ""ASOM"": [30, 40], ""Others"": [1, 5]}","{""NDA"": [82, 94], ""ASOM"": [30, 40], ""Others"": [1, 5]}","{""NDA"": 102, ""ASOM"": 21, ""Others"": 3}","Wikipedia: 2026 Assam Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Assam_Legislative_Assembly_election",0.2487,1,0.0741,NDA,NDA
assam_2026,2026 Assam Legislative Assembly election,2026-05-04,Assam,126,Today's Chankya,Today's Chanakya,"{""NDA"": [93, 111], ""ASOM"": [14, 32], ""Others"": [0, 2]}","{""NDA"": [93, 111], ""ASOM"": [14, 32], ""Others"": [0, 2]}","{""NDA"": 102, ""ASOM"": 21, ""Others"": 3}","Wikipedia: 2026 Assam Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Assam_Legislative_Assembly_election",0.1111,1,0.0106,NDA,NDA
kerala_2026,2026 Kerala Legislative Assembly election,2026-05-04,Kerala,140,Todays Chanakya,Today's Chanakya,"{""LDF"": [55, 73], ""UDF"": [60, 78], ""NDA"": [3, 11]}","{""LDF"": [55, 73], ""UDF"": [60, 78], ""NDA"": [3, 11]}","{""UDF"": 102, ""LDF"": 35, ""NDA"": 3}","Wikipedia: 2026 Kerala Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Kerala_Legislative_Assembly_election",0.5238,1,0.1571,UDF,UDF
kerala_2026,2026 Kerala Legislative Assembly election,2026-05-04,Kerala,140,Manorama News - CVoter,CVoter,"{""LDF"": [44, 56], ""UDF"": [82, 94], ""NDA"": [1, 3]}","{""LDF"": [44, 56], ""UDF"": [82, 94], ""NDA"": [1, 3]}","{""UDF"": 102, ""LDF"": 35, ""NDA"": 3}","Wikipedia: 2026 Kerala Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Kerala_Legislative_Assembly_election",0.2238,1,0.0714,UDF,UDF
kerala_2026,2026 Kerala Legislative Assembly election,2026-05-04,Kerala,140,Axis My India,Axis My India,"{""LDF"": [47, 57], ""UDF"": [83, 93], ""NDA"": [0, 3]}","{""LDF"": [47, 57], ""UDF"": [83, 93], ""NDA"": [0, 3]}","{""UDF"": 102, ""LDF"": 35, ""NDA"": 3}","Wikipedia: 2026 Kerala Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Kerala_Legislative_Assembly_election",0.2548,1,0.0774,UDF,UDF
kerala_2026,2026 Kerala Legislative Assembly election,2026-05-04,Kerala,140,Times Now -JVC,JVC,"{""LDF"": [52, 61], ""UDF"": [72, 84], ""NDA"": [3, 7]}","{""LDF"": [52, 61], ""UDF"": [72, 84], ""NDA"": [3, 7]}","{""UDF"": 102, ""LDF"": 35, ""NDA"": 3}","Wikipedia: 2026 Kerala Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Kerala_Legislative_Assembly_election",0.3929,1,0.1131,UDF,UDF
kerala_2026,2026 Kerala Legislative Assembly election,2026-05-04,Kerala,140,Chanakya Strategies,Chanakya Strategies,"{""LDF"": [58, 64], ""UDF"": [72, 80], ""NDA"": [1, 3]}","{""LDF"": [58, 64], ""UDF"": [72, 80], ""NDA"": [1, 3]}","{""UDF"": 102, ""LDF"": 35, ""NDA"": 3}","Wikipedia: 2026 Kerala Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Kerala_Legislative_Assembly_election",0.4667,1,0.1262,UDF,UDF
kerala_2026,2026 Kerala Legislative Assembly election,2026-05-04,Kerala,140,P-Marq,P-Marq,"{""LDF"": [62, 69], ""UDF"": [71, 79], ""NDA"": [1, 4]}","{""LDF"": [62, 69], ""UDF"": [71, 79], ""NDA"": [1, 4]}","{""UDF"": 102, ""LDF"": 35, ""NDA"": 3}","Wikipedia: 2026 Kerala Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Kerala_Legislative_Assembly_election",0.519,1,0.1381,UDF,UDF
kerala_2026,2026 Kerala Legislative Assembly election,2026-05-04,Kerala,140,Matrize,Matrize,"{""LDF"": [60, 65], ""UDF"": [70, 75], ""NDA"": [3, 5]}","{""LDF"": [60, 65], ""UDF"": [70, 75], ""NDA"": [3, 5]}","{""UDF"": 102, ""LDF"": 35, ""NDA"": 3}","Wikipedia: 2026 Kerala Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Kerala_Legislative_Assembly_election",0.5238,1,0.1381,UDF,UDF
kerala_2026,2026 Kerala Legislative Assembly election,2026-05-04,Kerala,140,People's Pulse,People's Pulse,"{""LDF"": [55, 65], ""UDF"": [75, 85], ""NDA"": [0, 3]}","{""LDF"": [55, 65], ""UDF"": [75, 85], ""NDA"": [0, 3]}","{""UDF"": 102, ""LDF"": 35, ""NDA"": 3}","Wikipedia: 2026 Kerala Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Kerala_Legislative_Assembly_election",0.4071,1,0.1155,UDF,UDF
kerala_2026,2026 Kerala Legislative Assembly election,2026-05-04,Kerala,140,People Insight,People's Insight,"{""LDF"": [58, 68], ""UDF"": [66, 76], ""NDA"": [10, 14]}","{""LDF"": [58, 68], ""UDF"": [66, 76], ""NDA"": [10, 14]}","{""UDF"": 102, ""LDF"": 35, ""NDA"": 3}","Wikipedia: 2026 Kerala Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Kerala_Legislative_Assembly_election",0.5905,1,0.1619,UDF,UDF
